date time	duration	event
Wednesday, November 7, 2018 8:00 AM	(3 hr)	EXECUTIVE TIME
Wednesday, November 7, 2018 11:00 AM	(30 min)	MEETING WITH THE CHIEF OF STAFF
Wednesday, November 7, 2018 11:30 AM	(1 hr)	EXECUTIVE TIME
Wednesday, November 7, 2018 12:30 PM	(1 hr)	LUNCH
Wednesday, November 7, 2018 1:30 PM	(3 hr, 30 min)	EXECUTIVE TIME
Thursday, November 8, 2018 8:00 AM	(1 hr, 30 min)	EXECUTIVE TIME
Thursday, November 8, 2018 9:45 AM	(10 min)	INVESTITURE OF THE HONORABLE BRETT KAVANAUGH
Thursday, November 8, 2018 10:00 AM	(15 min)	MEET AND GREET WITH SUPREME COURT JUSTICES
Thursday, November 8, 2018 11:00 AM	(30 min)	MEETING WITH THE SECRETARY OF STATE
Thursday, November 8, 2018 11:30 AM	(1 hr)	EXECUTIVE TIME
Thursday, November 8, 2018 12:30 PM	(1 hr)	LUNCH
Thursday, November 8, 2018 1:30 PM	(30 min)	EXECUTIVE TIME
Thursday, November 8, 2018 2:00 PM	(1 hr)	POLICY TIME
Thursday, November 8, 2018 3:00 PM	(15 min)	EXECUTIVE TIME
Thursday, November 8, 2018 3:15 PM	(1 hr)	MEETING WITH PRESIDENTIAL PERSONNEL
Thursday, November 8, 2018 3:30 PM	(1 hr, 15 min)	EXECUTIVE TIME
Thursday, November 8, 2018 4:45 PM	(15 min)	VIDEO RECORDING SESSION
Tuesday, November 13, 2018 8:00 AM	(3 hr)	EXECUTIVE TIME
Tuesday, November 13, 2018 11:00 AM	(30 min)	MEETING WITH THE CHIEF OF STAFF
Tuesday, November 13, 2018 11:30 AM	(30 min)	INTELLIGENCE BRIEFING
Tuesday, November 13, 2018 12:00 PM	(15 min)	MEETING WITH THE PRESS SECRETARY
Tuesday, November 13, 2018 12:15 PM	(15 min)	EXECUTIVE TIME
Tuesday, November 13, 2018 12:30 PM	(1 hr)	LUNCH
Tuesday, November 13, 2018 1:30 PM	(15 min)	EXECUTIVE TIME
Tuesday, November 13, 2018 1:45 PM	(15 min)	DIWALI CEREMONIAL LIGHTING OF THE DIYA
Tuesday, November 13, 2018 2:00 PM	(15 min)	EXECUTIVE TIME
Tuesday, November 13, 2018 2:15 PM	(45 min)	POLICY TIME
Tuesday, November 13, 2018 3:00 PM	(15 min)	EXECUTIVE TIME
Tuesday, November 13, 2018 3:15 PM	(45 min)	POLICY TIME
Tuesday, November 13, 2018 4:00 PM	(1 hr)	EXECUTIVE TIME
Wednesday, November 14, 2018 8:00 AM	(3 hr)	EXECUTIVE TIME
Wednesday, November 14, 2018 11:00 AM	(30 min)	MEETING WITH THE CHIEF OF STAFF
Wednesday, November 14, 2018 11:30 AM	(30 min)	INTELLIGENCE BRIEFING
Wednesday, November 14, 2018 12:00 PM	(15 min)	EXECUTIVE TIME
Wednesday, November 14, 2018 12:15 PM	(5 min)	MEDAL OF HONOR NOTIFICATION PHONE CALL
Wednesday, November 14, 2018 12:20 PM	(10 min)	EXECUTIVE TIME
Wednesday, November 14, 2018 12:30 PM	(1 hr)	LUNCH WITH THE SECRETARY OF STATE
Wednesday, November 14, 2018 1:30 PM	(30 min)	EXECUTIVE TIME
Wednesday, November 14, 2018 2:00 PM	(30 min)	POLICY TIME
Wednesday, November 14, 2018 2:30 PM	(1 hr)	EXECUTIVE TIME
Wednesday, November 14, 2018 3:30 PM	(15 min)	MEETING WITH STAKEHOLDERS ON THE FIRST STEP ACT
Wednesday, November 14, 2018 3:45 PM	(1 hr, 45 min)	EXECUTIVE TIME
Wednesday, November 14, 2018 5:30 PM	(15 min)	PHOTO OPPORTUNITY WITH THE FALL 2018 WHITE HOUSE INTERNSHIP PROGRAM CLASS
Thursday, November 15, 2018 8:00 AM	(3 hr, 40 min)	EXECUTIVE TIME
Thursday, November 15, 2018 12:00 PM	(1 hr)	VISIT TO MARINE BARRACKS WASHINGTON DC
Thursday, November 15, 2018 1:25 PM	(5 min)	EXECUTIVE TIME
Thursday, November 15, 2018 1:30 PM	(15 min)	REMARKS ON SUPPORTING VETERAN AND MILITARY FAMILIES
Thursday, November 15, 2018 1:45 PM	(1 hr)	EXECUTIVE TIME
Thursday, November 15, 2018 2:45 PM	(1 hr)	MEETING WITH SENATE REPUBLICAN LEADERSHIP
Thursday, November 15, 2018 3:45 PM	(15 min)	EXECUTIVE TIME
Thursday, November 15, 2018 4:00 PM	(30 min)	MEETING WITH PRESIDENTIAL PERSONNEL
Thursday, November 15, 2018 4:30 PM	(30 min)	EXECUTIVE TIME
Monday, November 19, 2018 8:00 AM	(3 hr)	EXECUTIVE TIME
Monday, November 19, 2018 11:00 AM	(30 min)	MEETING WITH THE CHIEF OF STAFF
Monday, November 19, 2018 11:30 AM	(1 hr, 30 min)	EXECUTIVE TIME
Monday, November 19, 2018 1:00 PM	(15 min)	WHITE HOUSE CHRISTMAS TREE DELIVERY
Monday, November 19, 2018 1:15 PM	(15 min)	EXECUTIVE TIME
Monday, November 19, 2018 1:30 PM	(1 hr)	LUNCH WITH THE VICE PRESIDENT
Monday, November 19, 2018 2:30 PM	(15 min)	EXECUTIVE TIME
Monday, November 19, 2018 2:45 PM	(45 min)	POLICY TIME
Monday, November 19, 2018 3:30 PM	(15 min)	EXECUTIVE TIME
Monday, November 19, 2018 3:45 PM	(45 min)	POLICY TIME
Monday, November 19, 2018 4:30 PM	(45 min)	EXECUTIVE TIME
